"county_code1","county_name1","county_code2","county_name2","distance_km"
"110107","石景山区","110107","石景山区",0
"110108","海淀区","110107","石景山区",11.435661949369
"110109","门头沟区","110107","石景山区",33.8977639738723
"110111","房山区","110107","石景山区",36.0807157927076
"110112","通州区","110107","石景山区",49.7719839182349
"110113","顺义区","110107","石景山区",52.3247949907297
"110114","昌平区","110107","石景山区",31.4931775264176
"110224","大兴区","110107","石景山区",37.7527035107737
"110226","平谷区","110107","石景山区",87.9027398721725
"110227","怀柔区","110107","石景山区",85.0838045479061
"110228","密云县","110107","石景山区",95.6631219471427
"110229","延庆县","110107","石景山区",67.518590415083
"110101","东城区","110108","海淀区",19.0372055531282
"110102","西城区","110108","海淀区",15.8009073596789
"110103","崇文区","110108","海淀区",22.744425352245
"110104","宣武区","110108","海淀区",19.3010669622731
"110105","朝阳区","110108","海淀区",25.6166349082426
"110106","丰台区","110108","海淀区",21.2078478684556
"110107","石景山区","110108","海淀区",11.435661949369
"110108","海淀区","110108","海淀区",0
"110109","门头沟区","110108","海淀区",38.0744955173725
"110111","房山区","110108","海淀区",46.7281366725208
"110112","通州区","110108","海淀区",49.4738375174019
"110113","顺义区","110108","海淀区",43.8335007514129
"110114","昌平区","110108","海淀区",21.0844759939929
"110224","大兴区","110108","海淀区",44.7918052819136
"110226","平谷区","110108","海淀区",80.0881923933625
"110227","怀柔区","110108","海淀区",73.6503691291201
"110228","密云县","110108","海淀区",85.0873390887162
"110229","延庆县","110108","海淀区",57.4532827769698
"110101","东城区","110109","门头沟区",54.2446593637352
"110102","西城区","110109","门头沟区",50.1672358991504
"110103","崇文区","110109","门头沟区",55.5042983009604
"110104","宣武区","110109","门头沟区",50.8341269950616
"110105","朝阳区","110109","门头沟区",62.396554496839
"110106","丰台区","110109","门头沟区",43.1463798802045
"110107","石景山区","110109","门头沟区",33.8977639738723
"110108","海淀区","110109","门头沟区",38.0744955173725
"110109","门头沟区","110109","门头沟区",0
"110111","房山区","110109","门头沟区",31.2025518964864
"110112","通州区","110109","门头沟区",83.606016689076
"110113","顺义区","110109","门头沟区",81.346170492848
"110114","昌平区","110109","门头沟区",43.3376348754994
"110224","大兴区","110109","门头沟区",66.42896671267
"110226","平谷区","110109","门头沟区",117.730320827313
"110227","怀柔区","110109","门头沟区",97.7155108608054
"110228","密云县","110109","门头沟区",117.883019030593
"110229","延庆县","110109","门头沟区",68.2331803136041
"110101","东城区","110111","房山区",53.3185088572714
"110102","西城区","110111","房山区",49.6297894879779
"110103","崇文区","110111","房山区",51.3910177701702
"110104","宣武区","110111","房山区",47.2249549431315
"110105","朝阳区","110111","房山区",61.9876938911996
"110106","丰台区","110111","房山区",35.8081164199512
"110107","石景山区","110111","房山区",36.0807157927076
"110108","海淀区","110111","房山区",46.7281366725208
"110109","门头沟区","110111","房山区",31.2025518964864
"110111","房山区","110111","房山区",0
"110112","通州区","110111","房山区",75.5903045557616
"110113","顺义区","110111","房山区",87.8419079253972
"110114","昌平区","110111","房山区",62.6285617788392
"110224","大兴区","110111","房山区",48.9715302669826
"110226","平谷区","110111","房山区",122.490543176047
"110227","怀柔区","110111","房山区",118.661000719909
"110228","密云县","110111","房山区",131.69557342315
"110229","延庆县","110111","房山区",94.676926868038
"110101","东城区","110112","通州区",30.5095196394389
"110102","西城区","110112","通州区",34.2086380529825
"110103","崇文区","110112","通州区",28.1554042819175
"110104","宣武区","110112","通州区",32.784670460324
"110105","朝阳区","110112","通州区",24.8516219242725
"110106","丰台区","110112","通州区",41.710060233622
"110107","石景山区","110112","通州区",49.7719839182349
"110108","海淀区","110112","通州区",49.4738375174019
"110109","门头沟区","110112","通州区",83.606016689076
"110111","房山区","110112","通州区",75.5903045557616
"110112","通州区","110112","通州区",0
"110113","顺义区","110112","通州区",38.51055761904
"110114","昌平区","110112","通州区",64.0366290719329
"110224","大兴区","110112","通州区",31.6846751574903
"110226","平谷区","110112","通州区",57.3534146259506
"110227","怀柔区","110112","通州区",93.1524345717368
"110228","密云县","110112","通州区",83.6344012176371
"110229","延庆县","110112","通州区",95.3690503556606
"110101","东城区","110113","顺义区",35.5165049500234
"110102","西城区","110113","顺义区",38.6328031876284
"110103","崇文区","110113","顺义区",39.3344157170992
"110104","宣武区","110113","顺义区",42.162972555714
"110105","朝阳区","110113","顺义区",28.0299603488328
"110106","丰台区","110113","顺义区",53.3500100359705
"110107","石景山区","110113","顺义区",52.3247949907297
"110108","海淀区","110113","顺义区",43.8335007514129
"110109","门头沟区","110113","顺义区",81.346170492848
"110111","房山区","110113","顺义区",87.8419079253972
"110112","通州区","110113","顺义区",38.51055761904
"110113","顺义区","110113","顺义区",0
"110114","昌平区","110113","顺义区",44.199559694537
"110224","大兴区","110113","顺义区",61.104999896147
"110226","平谷区","110113","顺义区",36.3844758510981
"110227","怀柔区","110113","顺义区",55.0470287910506
"110228","密云县","110113","顺义区",47.9364199159621
"110229","延庆县","110113","顺义区",64.4665502693238
"110101","东城区","110114","昌平区",36.27399350009
"110102","西城区","110114","昌平区",34.4626007748598
"110103","崇文区","110114","昌平区",41.2613629817116
"110104","宣武区","110114","昌平区",38.9522534613132
"110105","朝阳区","110114","昌平区",39.2837953957873
"110106","丰台区","110114","昌平区",42.2864158023175
"110107","石景山区","110114","昌平区",31.4931775264176
"110108","海淀区","110114","昌平区",21.0844759939929
"110109","门头沟区","110114","昌平区",43.3376348754994
"110111","房山区","110114","昌平区",62.6285617788392
"110112","通州区","110114","昌平区",64.0366290719329
"110113","顺义区","110114","昌平区",44.199559694537
"110114","昌平区","110114","昌平区",0
"110224","大兴区","110114","昌平区",65.3379564035387
"110226","平谷区","110114","昌平区",79.2266066304688
"110227","怀柔区","110114","昌平区",56.1601041127203
"110228","密云县","110114","昌平区",74.6857463144125
"110229","延庆县","110114","昌平区",36.3710668982547
"110101","东城区","110224","大兴区",31.1580067718773
"110102","西城区","110224","大兴区",31.4516578730449
"110103","崇文区","110224","大兴区",25.6579256193474
"110104","宣武区","110224","大兴区",26.6114279392351
"110105","朝阳区","110224","大兴区",34.5044883210581
"110106","丰台区","110224","大兴区",25.4062286806837
"110107","石景山区","110224","大兴区",37.7527035107737
"110108","海淀区","110224","大兴区",44.7918052819136
"110109","门头沟区","110224","大兴区",66.42896671267
"110111","房山区","110224","大兴区",48.9715302669826
"110112","通州区","110224","大兴区",31.6846751574903
"110113","顺义区","110224","大兴区",61.104999896147
"110114","昌平区","110224","大兴区",65.3379564035387
"110224","大兴区","110224","大兴区",0
"110226","平谷区","110224","大兴区",87.7235760502386
"110227","怀柔区","110224","大兴区",110.066380188474
"110228","密云县","110224","大兴区",109.004120238574
"110229","延庆县","110224","大兴区",101.37794074762
"110101","东城区","110226","平谷区",69.1824269393522
"110102","西城区","110226","平谷区",72.8790857678912
"110103","崇文区","110226","平谷区",71.6655448584895
"110104","宣武区","110226","平谷区",75.447019541214
