ydate,county_2000,n_obs,median_totalprice,mean_totalprice,median_unitsize,mean_unitsize,median_totalfloor,mean_totalfloor,median_bedroom,mean_bedroom,median_byear,mean_byear,tenure
2005,东城区,913,1800.0,34847.56736035049,57.0,58.18468786966046,6.0,9.337375964718854,2.0,1.6986754966887416,1991.0,1987.702850877193,17.297149122807014
2005,丰台区,1703,1300.0,44267.00998238403,58.0,59.08050497651204,14.0,14.693482090428656,2.0,1.6464705882352941,1995.0,1996.5005882352941,8.499411764705883
2005,大兴区,61,3000.0,200877.40983606558,95.0,101.31524621311475,6.0,9.163934426229508,2.0,2.033333333333333,2001.0,2000.4098360655737,4.5901639344263
2005,宣武区,1478,1500.0,44974.24560216509,57.0,60.36597428552098,6.0,11.227796610169491,2.0,1.6612466124661247,1993.0,1992.2647257955314,12.735274204468624
2005,崇文区,939,1500.0,54129.51863684771,60.0,62.12539932800852,12.0,13.534188034188034,2.0,1.740343347639485,1995.0,1992.8626198083068,12.137380191693182
2005,怀柔区,6,220000.0,228013.0,79.94000249999999,83.86500166666666,6.0,6.0,2.0,2.3333333333333335,2000.0,1999.6666666666667,5.3333333333332575
2005,房山区,10,1447.0,75049.4,86.3849985,81.2309997,6.0,9.8,2.0,1.9,2002.0,2001.5,3.5
2005,昌平区,524,1300.0,103728.13167938932,80.0,88.11839697328244,6.0,8.388145315487572,2.0,1.9436893203883494,2001.0,2000.1870229007634,4.812977099236605
2005,朝阳区,9211,1666.0,60052.92508956682,60.0,62.9137064669417,9.0,12.640278381905176,2.0,1.717075831969449,1992.0,1992.685062466051,12.314937533948978
2005,海淀区,5316,1800.0,48509.24905944319,60.0,63.41172875507901,6.0,11.142131024096386,2.0,1.7862682050312086,1994.0,1993.3633967237809,11.636603276219148
2005,石景山区,714,1150.0,47607.47198879552,60.0,61.36603643557422,6.0,10.676470588235293,2.0,1.7862165963431786,1990.0,1992.1022408963586,12.89775910364142
2005,西城区,2123,1800.0,24950.860103626943,57.0,57.308883658031085,6.0,9.66729589428976,2.0,1.7112476370510397,1991.0,1989.3810198300284,15.618980169971564
2005,通州区,679,1000.0,59048.95139911635,70.0,71.42213551546392,6.0,8.188790560471977,2.0,1.8100147275405007,1999.0,1997.8335787923418,7.166421207658232
2005,门头沟区,50,650.0,21724.52,65.0,64.02060012,6.0,6.92,2.0,1.86,1995.0,1993.82,11.180000000000064
2005,顺义区,19,28980.0,109963.0,67.160004,77.88842115789474,6.0,6.105263157894737,2.0,1.8888888888888888,1999.0,1998.578947368421,6.421052631578959
2006,东城区,1620,2080.0,48656.17901234568,60.0,60.141271630864196,6.0,9.91702786377709,2.0,1.7422360248447204,1991.0,1987.0408415841584,18.959158415841557
2006,丰台区,3803,1450.0,76758.09702866158,60.0,64.21861422403366,12.0,14.187384534177884,2.0,1.7326287978863937,1997.0,1996.6477871443624,9.352212855637617
2006,大兴区,318,1500.0,124579.83018867925,73.1399995,81.19628941509434,6.0,7.273584905660377,2.0,1.914012738853503,2001.0,2000.3522012578617,5.6477987421383204
2006,宣武区,2809,1700.0,67133.65218939124,58.82,62.190566033463874,10.0,11.957158157800786,2.0,1.7140814867762688,1993.0,1991.1360883505522,14.8639116494478
2006,崇文区,1546,1600.0,76082.19016817593,60.0,64.55890688227684,12.0,13.440909090909091,2.0,1.7329842931937174,1995.0,1993.990938511327,12.009061488673069
2006,怀柔区,62,256500.0,303580.6451612903,80.47999949999999,82.59838695161291,6.0,6.0,2.0,2.0,2000.0,1999.1803278688524,6.819672131147627
2006,房山区,8,98500.0,154106.25,87.4900015,86.04500075,6.0,6.0,2.0,2.25,2002.5,2002.125,3.875
2006,昌平区,1720,1500.0,106586.57093023256,90.0,91.90341276511629,6.0,8.551724137931034,2.0,2.1107802263251934,2001.0,2000.761046511628,5.23895348837209
2006,朝阳区,15813,1900.0,82001.95389869095,60.0,66.01034402125467,12.0,13.566926637499208,2.0,1.7503823604384399,1994.0,1993.9899418016194,12.010058198380648
2006,海淀区,9592,2081.5,76678.67900333612,60.0,65.58516369651792,6.0,11.445629443747386,2.0,1.8235046778093136,1995.0,1992.596577272253,13.403422727747056
2006,石景山区,774,1350.0,86151.27131782945,60.0,63.76603365633075,6.0,11.310478654592497,2.0,1.7661498708010337,1994.0,1993.2299741602067,12.770025839793334
2006,西城区,3323,2000.0,41388.69094191995,58.5,57.96130906650617,6.0,9.822108124433706,2.0,1.7220042257772412,1991.0,1984.9460030165912,21.05399698340875
2006,通州区,1350,1150.0,77843.25703703704,70.0,72.99468890651852,6.0,9.695845697329377,2.0,1.8154188287620459,2000.5,1998.9050445103858,7.094955489614222
2006,门头沟区,36,875.0,110428.19444444444,64.674999,67.30666641666667,6.0,6.055555555555555,2.0,1.9722222222222223,1996.0,1994.638888888889,11.361111111111086
2006,顺义区,15,231000.0,243533.33333333334,80.0,81.0339996,6.0,5.4,2.0,1.8666666666666667,1999.0,1999.5333333333333,6.466666666666697
2007,东城区,2264,2500.0,122366.72791519435,60.0,61.41079505618375,6.0,9.756221198156682,2.0,1.7450346420323326,1991.0,1982.9686257180733,24.031374281926674
2007,丰台区,5760,1700.0,157497.14513888888,60.0,68.55938714045139,14.0,14.507158196134574,2.0,1.7813903359080294,1998.0,1997.4355455177206,9.564454482279416
2007,大兴区,793,2700.0,311746.9974779319,84.0,89.84983604791928,6.0,7.711640211640212,2.0,1.98236092265943,2001.0,2000.9255989911728,6.074401008827181
2007,宣武区,3747,2000.0,127689.85134774486,60.0,64.1944595852682,10.0,12.582902259733189,2.0,1.744350667029676,1993.0,1993.3282626100881,13.671737389911868
2007,崇文区,2291,2200.0,223461.3784373636,60.0,67.70261453784373,12.0,13.51672321861367,2.0,1.697425934919864,1996.0,1996.6900916630293,10.309908336970693
2007,房山区,18,125780.0,246602.5,95.279999,93.93500033333333,6.0,5.944444444444445,2.0,2.1666666666666665,2002.5,2002.7777777777778,4.222222222222172
2007,昌平区,2630,1800.0,183459.32509505702,90.0,93.48045632471484,6.0,8.966257668711657,2.0,2.124116260801257,2002.0,2001.1254752851712,5.8745247148287945
2007,朝阳区,23977,2400.0,205562.9341452225,62.560001,70.53663596863662,14.0,14.137923301188607,2.0,1.7816755343132835,1995.0,1995.1924087591242,11.807591240875809
2007,海淀区,12565,2500.0,161759.15933147632,60.0,68.22098209216077,6.0,11.3893850042123,2.0,1.8307039864291772,1995.0,1994.566321656051,12.433678343948941
2007,石景山区,1117,1650.0,164508.57923008056,62.0,68.37258733661594,12.0,12.922090729783038,2.0,1.825098814229249,1996.0,1993.1495076096687,13.850492390331283
2007,西城区,3946,2400.0,111536.53877344145,60.0,58.8571236626964,6.0,9.939425862523045,2.0,1.7282522996057819,1991.0,1988.9004823559278,18.099517644072193
2007,通州区,2783,1400.0,158265.52425440174,75.0,77.36334527991376,6.0,9.716672996581845,2.0,1.8437141765380207,2002.0,1999.0699603317707,7.930039668229256
2007,门头沟区,56,900.0,26067.285714285714,73.0,74.70125010714285,6.0,7.25,2.0,1.9642857142857142,1997.5,1995.5,11.5
2007,顺义区,31,315000.0,418946.4516129032,70.0,94.4177414516129,6.0,7.178571428571429,2.0,1.8148148148148149,2001.0,2000.741935483871,6.258064516129025
2008,东城区,2255,2700.0,101301.4647450111,60.0,62.327144095521064,6.0,9.774131274131275,2.0,1.7634606534744592,1992.0,1990.9569462938305,17.04305370616953
2008,丰台区,6812,2000.0,127342.07222548444,60.795,68.1386919958896,15.0,14.808374620425123,2.0,1.7493104505056696,1999.0,1997.3758448427857,10.624155157214318
2008,大兴区,1132,1800.0,149738.4487632509,79.0,84.88216424381626,6.0,8.22002200220022,2.0,1.9299111549851924,2001.0,2000.89222614841,7.107773851590082
2008,宣武区,4381,2200.0,119701.20132389865,60.0,64.77644829764894,10.0,12.870674412730487,2.0,1.727992324298393,1995.0,1993.5963470319634,14.403652968036567
2008,崇文区,2485,2300.0,163952.01971830986,60.0,66.19458748008049,12.0,13.62045564711585,2.0,1.7232063773250665,1995.0,1994.7758064516129,13.22419354838712
2008,房山区,10,427500.0,438450.0,103.325,98.7319991,6.0,6.6,2.0,2.0,2004.0,2003.8,4.2000000000000455
2008,昌平区,3105,2100.0,113067.69500805152,90.0,91.04462799613526,6.0,10.8421225024566,2.0,2.1330049261083746,2002.0,2001.7339774557165,6.266022544283487
2008,朝阳区,26810,2600.0,144439.52980231258,64.005001,71.61459754590824,14.0,14.265615730146623,2.0,1.7918156535558205,1995.0,1995.8808893199537,12.119110680046333
2008,海淀区,13235,2700.0,121316.22070268229,61.599998,68.41358972275783,6.0,11.611406717658797,2.0,1.843648466597987,1996.0,1995.395419154887,12.604580845113105
2008,石景山区,1656,1800.0,138625.3007246377,61.4699995,68.11964974094202,9.0,12.928683385579937,2.0,1.7816171389080857,1996.0,1995.9824879227053,12.017512077294668
2008,西城区,4147,2700.0,92953.7260670364,60.0,61.05646491608392,6.0,10.060200668896321,2.0,1.7275224775224776,1991.0,1988.4176328502415,19.58236714975851
2008,通州区,3839,1580.0,104432.21880698098,75.0,77.30947122974733,6.0,9.737994119568768,2.0,1.8320787492762014,2002.0,1999.7593415207734,8.240658479226568
2008,门头沟区,26,1000.0,67848.07692307692,61.0,62.834231153846154,6.0,6.32,2.0,1.76,1997.5,1995.576923076923,12.423076923076906
2008,顺义区,21,410000.0,513894.28571428574,79.739998,100.4299990952381,6.0,6.705882352941177,2.0,2.1666666666666665,2003.0,2001.55,6.4500000000000455
2009,东城区,2694,2800.0,269341.30326651817,60.0,63.45450632368225,6.0,9.752773375594295,2.0,1.7786088257292445,1992.0,1989.9171003717472,19.08289962825279
2009,丰台区,10326,2350.0,329527.98954096454,64.185001,71.30808635570405,16.0,15.128734150010747,2.0,1.7594168868016828,2001.0,1998.1389938935738,10.861006106426203
